date,state,district,type,beds
1/1/2020,Johor,All Districts,all,5270
1/1/2021,Johor,All Districts,all,5278
1/1/2022,Johor,All Districts,all,5433
1/1/2020,Johor,All Districts,hospital_moh,4138
1/1/2021,Johor,All Districts,hospital_moh,4146
1/1/2022,Johor,All Districts,hospital_moh,4301
1/1/2020,Johor,All Districts,hospital_non_moh,0
1/1/2021,Johor,All Districts,hospital_non_moh,0
1/1/2022,Johor,All Districts,hospital_non_moh,0
1/1/2020,Johor,All Districts,special_medical_institution,1132
1/1/2021,Johor,All Districts,special_medical_institution,1132
1/1/2022,Johor,All Districts,special_medical_institution,1132
1/1/2020,Johor,Batu Pahat,all,546
1/1/2021,Johor,Batu Pahat,all,554
1/1/2022,Johor,Batu Pahat,all,610
1/1/2020,Johor,Batu Pahat,hospital_moh,546
1/1/2021,Johor,Batu Pahat,hospital_moh,554
1/1/2022,Johor,Batu Pahat,hospital_moh,610
1/1/2020,Johor,Batu Pahat,hospital_non_moh,0
1/1/2021,Johor,Batu Pahat,hospital_non_moh,0
1/1/2022,Johor,Batu Pahat,hospital_non_moh,0
1/1/2020,Johor,Batu Pahat,special_medical_institution,0
1/1/2021,Johor,Batu Pahat,special_medical_institution,0
1/1/2022,Johor,Batu Pahat,special_medical_institution,0
1/1/2020,Johor,Johor Bahru,all,3042
1/1/2021,Johor,Johor Bahru,all,3042
1/1/2022,Johor,Johor Bahru,all,3042
1/1/2020,Johor,Johor Bahru,hospital_moh,1910
1/1/2021,Johor,Johor Bahru,hospital_moh,1910
1/1/2022,Johor,Johor Bahru,hospital_moh,1910
1/1/2020,Johor,Johor Bahru,hospital_non_moh,0
1/1/2021,Johor,Johor Bahru,hospital_non_moh,0
1/1/2022,Johor,Johor Bahru,hospital_non_moh,0
1/1/2020,Johor,Johor Bahru,special_medical_institution,1132
1/1/2021,Johor,Johor Bahru,special_medical_institution,1132
1/1/2022,Johor,Johor Bahru,special_medical_institution,1132
1/1/2020,Johor,Kluang,all,308
1/1/2021,Johor,Kluang,all,308
1/1/2022,Johor,Kluang,all,382
1/1/2020,Johor,Kluang,hospital_moh,308
1/1/2021,Johor,Kluang,hospital_moh,308
1/1/2022,Johor,Kluang,hospital_moh,382
1/1/2020,Johor,Kluang,hospital_non_moh,0
1/1/2021,Johor,Kluang,hospital_non_moh,0
1/1/2022,Johor,Kluang,hospital_non_moh,0
1/1/2020,Johor,Kluang,special_medical_institution,0
1/1/2021,Johor,Kluang,special_medical_institution,0
1/1/2022,Johor,Kluang,special_medical_institution,0
1/1/2020,Johor,Kota Tinggi,all,158
1/1/2021,Johor,Kota Tinggi,all,158
1/1/2022,Johor,Kota Tinggi,all,158
1/1/2020,Johor,Kota Tinggi,hospital_moh,158
1/1/2021,Johor,Kota Tinggi,hospital_moh,158
1/1/2022,Johor,Kota Tinggi,hospital_moh,158
1/1/2020,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2021,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2022,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2020,Johor,Kota Tinggi,special_medical_institution,0
1/1/2021,Johor,Kota Tinggi,special_medical_institution,0
1/1/2022,Johor,Kota Tinggi,special_medical_institution,0
1/1/2020,Johor,Kulaijaya,all,93
1/1/2021,Johor,Kulaijaya,all,93
1/1/2022,Johor,Kulaijaya,all,93
1/1/2020,Johor,Kulaijaya,hospital_moh,93
1/1/2021,Johor,Kulaijaya,hospital_moh,93
1/1/2022,Johor,Kulaijaya,hospital_moh,93
1/1/2020,Johor,Kulaijaya,hospital_non_moh,0
1/1/2021,Johor,Kulaijaya,hospital_non_moh,0
1/1/2022,Johor,Kulaijaya,hospital_non_moh,0
1/1/2020,Johor,Kulaijaya,special_medical_institution,0
1/1/2021,Johor,Kulaijaya,special_medical_institution,0
1/1/2022,Johor,Kulaijaya,special_medical_institution,0
1/1/2020,Johor,Ledang,all,69
1/1/2021,Johor,Ledang,all,69
1/1/2022,Johor,Ledang,all,69
1/1/2020,Johor,Ledang,hospital_moh,69
1/1/2021,Johor,Ledang,hospital_moh,69
1/1/2022,Johor,Ledang,hospital_moh,69
1/1/2020,Johor,Ledang,hospital_non_moh,0
1/1/2021,Johor,Ledang,hospital_non_moh,0
1/1/2022,Johor,Ledang,hospital_non_moh,0
1/1/2020,Johor,Ledang,special_medical_institution,0
1/1/2021,Johor,Ledang,special_medical_institution,0
1/1/2022,Johor,Ledang,special_medical_institution,0
1/1/2020,Johor,Mersing,all,70
1/1/2021,Johor,Mersing,all,70
1/1/2022,Johor,Mersing,all,70
1/1/2020,Johor,Mersing,hospital_moh,70
1/1/2021,Johor,Mersing,hospital_moh,70
1/1/2022,Johor,Mersing,hospital_moh,70
1/1/2020,Johor,Mersing,hospital_non_moh,0
1/1/2021,Johor,Mersing,hospital_non_moh,0
1/1/2022,Johor,Mersing,hospital_non_moh,0
1/1/2020,Johor,Mersing,special_medical_institution,0
1/1/2021,Johor,Mersing,special_medical_institution,0
1/1/2022,Johor,Mersing,special_medical_institution,0
1/1/2020,Johor,Muar,all,550
1/1/2021,Johor,Muar,all,550
1/1/2022,Johor,Muar,all,575
1/1/2020,Johor,Muar,hospital_moh,550
1/1/2021,Johor,Muar,hospital_moh,550
1/1/2022,Johor,Muar,hospital_moh,575
1/1/2020,Johor,Muar,hospital_non_moh,0
1/1/2021,Johor,Muar,hospital_non_moh,0
1/1/2022,Johor,Muar,hospital_non_moh,0
1/1/2020,Johor,Muar,special_medical_institution,0
1/1/2021,Johor,Muar,special_medical_institution,0
1/1/2022,Johor,Muar,special_medical_institution,0
1/1/2020,Johor,Pontian,all,120
1/1/2021,Johor,Pontian,all,120
1/1/2022,Johor,Pontian,all,120
1/1/2020,Johor,Pontian,hospital_moh,120
1/1/2021,Johor,Pontian,hospital_moh,120
1/1/2022,Johor,Pontian,hospital_moh,120
1/1/2020,Johor,Pontian,hospital_non_moh,0
1/1/2021,Johor,Pontian,hospital_non_moh,0
1/1/2022,Johor,Pontian,hospital_non_moh,0
1/1/2020,Johor,Pontian,special_medical_institution,0
1/1/2021,Johor,Pontian,special_medical_institution,0
1/1/2022,Johor,Pontian,special_medical_institution,0
1/1/2020,Johor,Segamat,all,314
1/1/2021,Johor,Segamat,all,314
1/1/2022,Johor,Segamat,all,314
1/1/2020,Johor,Segamat,hospital_moh,314
1/1/2021,Johor,Segamat,hospital_moh,314
1/1/2022,Johor,Segamat,hospital_moh,314
1/1/2020,Johor,Segamat,hospital_non_moh,0
1/1/2021,Johor,Segamat,hospital_non_moh,0
1/1/2022,Johor,Segamat,hospital_non_moh,0
1/1/2020,Johor,Segamat,special_medical_institution,0
1/1/2021,Johor,Segamat,special_medical_institution,0
1/1/2022,Johor,Segamat,special_medical_institution,0
1/1/2020,Kedah,All Districts,all,2702
1/1/2021,Kedah,All Districts,all,2755
1/1/2022,Kedah,All Districts,all,2762
1/1/2020,Kedah,All Districts,hospital_moh,2702
1/1/2021,Kedah,All Districts,hospital_moh,2755
1/1/2022,Kedah,All Districts,hospital_moh,2762
1/1/2020,Kedah,All Districts,hospital_non_moh,0
1/1/2021,Kedah,All Districts,hospital_non_moh,0
1/1/2022,Kedah,All Districts,hospital_non_moh,0
1/1/2020,Kedah,All Districts,special_medical_institution,0
1/1/2021,Kedah,All Districts,special_medical_institution,0
1/1/2022,Kedah,All Districts,special_medical_institution,0
1/1/2020,Kedah,Baling,all,115
1/1/2021,Kedah,Baling,all,115
1/1/2022,Kedah,Baling,all,115
1/1/2020,Kedah,Baling,hospital_moh,115
1/1/2021,Kedah,Baling,hospital_moh,115
1/1/2022,Kedah,Baling,hospital_moh,115
1/1/2020,Kedah,Baling,hospital_non_moh,0
1/1/2021,Kedah,Baling,hospital_non_moh,0
1/1/2022,Kedah,Baling,hospital_non_moh,0
1/1/2020,Kedah,Baling,special_medical_institution,0
1/1/2021,Kedah,Baling,special_medical_institution,0
1/1/2022,Kedah,Baling,special_medical_institution,0
1/1/2020,Kedah,Bandar Baharu,all,0
1/1/2021,Kedah,Bandar Baharu,all,0
1/1/2022,Kedah,Bandar Baharu,all,0
1/1/2020,Kedah,Bandar Baharu,hospital_moh,0
1/1/2021,Kedah,Bandar Baharu,hospital_moh,0
1/1/2022,Kedah,Bandar Baharu,hospital_moh,0
1/1/2020,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2021,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2022,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2020,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2021,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2022,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2020,Kedah,Kota Setar,all,1108
1/1/2021,Kedah,Kota Setar,all,1108
1/1/2022,Kedah,Kota Setar,all,1108
1/1/2020,Kedah,Kota Setar,hospital_moh,1108
1/1/2021,Kedah,Kota Setar,hospital_moh,1108
1/1/2022,Kedah,Kota Setar,hospital_moh,1108
1/1/2020,Kedah,Kota Setar,hospital_non_moh,0
1/1/2021,Kedah,Kota Setar,hospital_non_moh,0
1/1/2022,Kedah,Kota Setar,hospital_non_moh,0
1/1/2020,Kedah,Kota Setar,special_medical_institution,0
1/1/2021,Kedah,Kota Setar,special_medical_institution,0
1/1/2022,Kedah,Kota Setar,special_medical_institution,0
1/1/2020,Kedah,Kuala Muda,all,696
1/1/2021,Kedah,Kuala Muda,all,696
1/1/2022,Kedah,Kuala Muda,all,703
1/1/2020,Kedah,Kuala Muda,hospital_moh,696
1/1/2021,Kedah,Kuala Muda,hospital_moh,696
1/1/2022,Kedah,Kuala Muda,hospital_moh,703
1/1/2020,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2021,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2022,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2020,Kedah,Kuala Muda,special_medical_institution,0
1/1/2021,Kedah,Kuala Muda,special_medical_institution,0
1/1/2022,Kedah,Kuala Muda,special_medical_institution,0
1/1/2020,Kedah,Kubang Pasu,all,91
1/1/2021,Kedah,Kubang Pasu,all,91
1/1/2022,Kedah,Kubang Pasu,all,91
1/1/2020,Kedah,Kubang Pasu,hospital_moh,91
1/1/2021,Kedah,Kubang Pasu,hospital_moh,91
1/1/2022,Kedah,Kubang Pasu,hospital_moh,91
1/1/2020,Kedah,Kubang Pasu,hospital_non_moh,0
1/1/2021,Kedah,Kubang Pasu,hospital_non_moh,0
1/1/2022,Kedah,Kubang Pasu,hospital_non_moh,0
1/1/2020,Kedah,Kubang Pasu,special_medical_institution,0
1/1/2021,Kedah,Kubang Pasu,special_medical_institution,0
1/1/2022,Kedah,Kubang Pasu,special_medical_institution,0
1/1/2020,Kedah,Kulim,all,320
1/1/2021,Kedah,Kulim,all,320
1/1/2022,Kedah,Kulim,all,320
1/1/2020,Kedah,Kulim,hospital_moh,320
1/1/2021,Kedah,Kulim,hospital_moh,320
1/1/2022,Kedah,Kulim,hospital_moh,320
1/1/2020,Kedah,Kulim,hospital_non_moh,0
1/1/2021,Kedah,Kulim,hospital_non_moh,0
1/1/2022,Kedah,Kulim,hospital_non_moh,0
1/1/2020,Kedah,Kulim,special_medical_institution,0
1/1/2021,Kedah,Kulim,special_medical_institution,0
1/1/2022,Kedah,Kulim,special_medical_institution,0
1/1/2020,Kedah,Langkawi,all,110
1/1/2021,Kedah,Langkawi,all,163
1/1/2022,Kedah,Langkawi,all,163
1/1/2020,Kedah,Langkawi,hospital_moh,110
1/1/2021,Kedah,Langkawi,hospital_moh,163
1/1/2022,Kedah,Langkawi,hospital_moh,163
1/1/2020,Kedah,Langkawi,hospital_non_moh,0
1/1/2021,Kedah,Langkawi,hospital_non_moh,0
1/1/2022,Kedah,Langkawi,hospital_non_moh,0
1/1/2020,Kedah,Langkawi,special_medical_institution,0
1/1/2021,Kedah,Langkawi,special_medical_institution,0
1/1/2022,Kedah,Langkawi,special_medical_institution,0
1/1/2020,Kedah,Padang Terap,all,80
1/1/2021,Kedah,Padang Terap,all,80
1/1/2022,Kedah,Padang Terap,all,80
1/1/2020,Kedah,Padang Terap,hospital_moh,80
1/1/2021,Kedah,Padang Terap,hospital_moh,80
1/1/2022,Kedah,Padang Terap,hospital_moh,80
1/1/2020,Kedah,Padang Terap,hospital_non_moh,0
1/1/2021,Kedah,Padang Terap,hospital_non_moh,0
1/1/2022,Kedah,Padang Terap,hospital_non_moh,0
1/1/2020,Kedah,Padang Terap,special_medical_institution,0
1/1/2021,Kedah,Padang Terap,special_medical_institution,0
1/1/2022,Kedah,Padang Terap,special_medical_institution,0
1/1/2020,Kedah,Pendang,all,0
1/1/2021,Kedah,Pendang,all,0
1/1/2022,Kedah,Pendang,all,0
1/1/2020,Kedah,Pendang,hospital_moh,0
1/1/2021,Kedah,Pendang,hospital_moh,0
1/1/2022,Kedah,Pendang,hospital_moh,0
1/1/2020,Kedah,Pendang,hospital_non_moh,0
1/1/2021,Kedah,Pendang,hospital_non_moh,0
1/1/2022,Kedah,Pendang,hospital_non_moh,0
1/1/2020,Kedah,Pendang,special_medical_institution,0
1/1/2021,Kedah,Pendang,special_medical_institution,0
1/1/2022,Kedah,Pendang,special_medical_institution,0
1/1/2020,Kedah,Pokok Sena,all,0
1/1/2021,Kedah,Pokok Sena,all,0
1/1/2022,Kedah,Pokok Sena,all,0
1/1/2020,Kedah,Pokok Sena,hospital_moh,0
1/1/2021,Kedah,Pokok Sena,hospital_moh,0
1/1/2022,Kedah,Pokok Sena,hospital_moh,0
1/1/2020,Kedah,Pokok Sena,hospital_non_moh,0
1/1/2021,Kedah,Pokok Sena,hospital_non_moh,0
1/1/2022,Kedah,Pokok Sena,hospital_non_moh,0
1/1/2020,Kedah,Pokok Sena,special_medical_institution,0
1/1/2021,Kedah,Pokok Sena,special_medical_institution,0
1/1/2022,Kedah,Pokok Sena,special_medical_institution,0
1/1/2020,Kedah,Sik,all,93
1/1/2021,Kedah,Sik,all,93
1/1/2022,Kedah,Sik,all,93
1/1/2020,Kedah,Sik,hospital_moh,93
1/1/2021,Kedah,Sik,hospital_moh,93
1/1/2022,Kedah,Sik,hospital_moh,93
1/1/2020,Kedah,Sik,hospital_non_moh,0
1/1/2021,Kedah,Sik,hospital_non_moh,0
1/1/2022,Kedah,Sik,hospital_non_moh,0
1/1/2020,Kedah,Sik,special_medical_institution,0
1/1/2021,Kedah,Sik,special_medical_institution,0
1/1/2022,Kedah,Sik,special_medical_institution,0
1/1/2020,Kedah,Yan,all,89
1/1/2021,Kedah,Yan,all,89
1/1/2022,Kedah,Yan,all,89
1/1/2020,Kedah,Yan,hospital_moh,89
1/1/2021,Kedah,Yan,hospital_moh,89
1/1/2022,Kedah,Yan,hospital_moh,89
1/1/2020,Kedah,Yan,hospital_non_moh,0
1/1/2021,Kedah,Yan,hospital_non_moh,0
1/1/2022,Kedah,Yan,hospital_non_moh,0
1/1/2020,Kedah,Yan,special_medical_institution,0
1/1/2021,Kedah,Yan,special_medical_institution,0
1/1/2022,Kedah,Yan,special_medical_institution,0
1/1/2020,Kelantan,All Districts,all,2786
1/1/2021,Kelantan,All Districts,all,2812
1/1/2022,Kelantan,All Districts,all,2970
1/1/2020,Kelantan,All Districts,hospital_moh,1957
1/1/2021,Kelantan,All Districts,hospital_moh,1983
1/1/2022,Kelantan,All Districts,hospital_moh,2141
1/1/2020,Kelantan,All Districts,hospital_non_moh,829
1/1/2021,Kelantan,All Districts,hospital_non_moh,829
1/1/2022,Kelantan,All Districts,hospital_non_moh,829
1/1/2020,Kelantan,All Districts,special_medical_institution,0
1/1/2021,Kelantan,All Districts,special_medical_institution,0
1/1/2022,Kelantan,All Districts,special_medical_institution,0
1/1/2020,Kelantan,Bachok,all,0
1/1/2021,Kelantan,Bachok,all,0
1/1/2022,Kelantan,Bachok,all,0
1/1/2020,Kelantan,Bachok,hospital_moh,0
1/1/2021,Kelantan,Bachok,hospital_moh,0
1/1/2022,Kelantan,Bachok,hospital_moh,0
1/1/2020,Kelantan,Bachok,hospital_non_moh,0
1/1/2021,Kelantan,Bachok,hospital_non_moh,0
1/1/2022,Kelantan,Bachok,hospital_non_moh,0
1/1/2020,Kelantan,Bachok,special_medical_institution,0
1/1/2021,Kelantan,Bachok,special_medical_institution,0
1/1/2022,Kelantan,Bachok,special_medical_institution,0
1/1/2020,Kelantan,Gua Musang,all,90
1/1/2021,Kelantan,Gua Musang,all,90
1/1/2022,Kelantan,Gua Musang,all,90
1/1/2020,Kelantan,Gua Musang,hospital_moh,90
1/1/2021,Kelantan,Gua Musang,hospital_moh,90
1/1/2022,Kelantan,Gua Musang,hospital_moh,90
1/1/2020,Kelantan,Gua Musang,hospital_non_moh,0
1/1/2021,Kelantan,Gua Musang,hospital_non_moh,0
1/1/2022,Kelantan,Gua Musang,hospital_non_moh,0
1/1/2020,Kelantan,Gua Musang,special_medical_institution,0
1/1/2021,Kelantan,Gua Musang,special_medical_institution,0
1/1/2022,Kelantan,Gua Musang,special_medical_institution,0
1/1/2020,Kelantan,Jeli,all,80
1/1/2021,Kelantan,Jeli,all,80
1/1/2022,Kelantan,Jeli,all,80
1/1/2020,Kelantan,Jeli,hospital_moh,80
1/1/2021,Kelantan,Jeli,hospital_moh,80
1/1/2022,Kelantan,Jeli,hospital_moh,80
1/1/2020,Kelantan,Jeli,hospital_non_moh,0
1/1/2021,Kelantan,Jeli,hospital_non_moh,0
1/1/2022,Kelantan,Jeli,hospital_non_moh,0
1/1/2020,Kelantan,Jeli,special_medical_institution,0
1/1/2021,Kelantan,Jeli,special_medical_institution,0
1/1/2022,Kelantan,Jeli,special_medical_institution,0
1/1/2020,Kelantan,Kota Bharu,all,1811
1/1/2021,Kelantan,Kota Bharu,all,1811
1/1/2022,Kelantan,Kota Bharu,all,1811
1/1/2020,Kelantan,Kota Bharu,hospital_moh,982
1/1/2021,Kelantan,Kota Bharu,hospital_moh,982
1/1/2022,Kelantan,Kota Bharu,hospital_moh,982
1/1/2020,Kelantan,Kota Bharu,hospital_non_moh,829
1/1/2021,Kelantan,Kota Bharu,hospital_non_moh,829
1/1/2022,Kelantan,Kota Bharu,hospital_non_moh,829
1/1/2020,Kelantan,Kota Bharu,special_medical_institution,0
1/1/2021,Kelantan,Kota Bharu,special_medical_institution,0
1/1/2022,Kelantan,Kota Bharu,special_medical_institution,0
1/1/2020,Kelantan,Kuala Krai,all,268
1/1/2021,Kelantan,Kuala Krai,all,268
1/1/2022,Kelantan,Kuala Krai,all,424
1/1/2020,Kelantan,Kuala Krai,hospital_moh,268
1/1/2021,Kelantan,Kuala Krai,hospital_moh,268
1/1/2022,Kelantan,Kuala Krai,hospital_moh,424
1/1/2020,Kelantan,Kuala Krai,hospital_non_moh,0
1/1/2021,Kelantan,Kuala Krai,hospital_non_moh,0
1/1/2022,Kelantan,Kuala Krai,hospital_non_moh,0
1/1/2020,Kelantan,Kuala Krai,special_medical_institution,0
1/1/2021,Kelantan,Kuala Krai,special_medical_institution,0
1/1/2022,Kelantan,Kuala Krai,special_medical_institution,0
1/1/2020,Kelantan,Machang,all,90
