state,pop,pop_18,donation_rate,beds_per_1000
Johor,3781000,2711900,31.97,2.87
Kedah,2185100,1540600,26.82,2.53
Kelantan,1906700,1236200,25.53,3.12
Melaka,932700,677400,84.97,3.12
Negeri Sembilan,1128800,814400,40.12,3.5
Pahang,1678700,1175800,39.79,3.19
Pulau Pinang,1773600,1367200,57.94,2.41
Perak,2510300,1862700,48.27,4.69
Perlis,254900,181200,0,3.99
Selangor,6538000,4747900,12.6,2.34
Terengganu,1259300,808400,45.89,2.75
Sabah,3908500,2758400,26.55,2.59
Sarawak,2816500,2042700,38.44,2.92
Kuala Lumpur,1773700,1348600,288.33,5.5
Labuan,99600,68500,0,2.45
Putrajaya,110000,67700,0,11.58
